1;Collinsworth;Mitch;M60;;00:00;a5160a65b8c39b477253ac6be7d70a56;103;ROC;8648384;
2;Afonkin;Vadim;M50;;02:00;b712eecec490502ed32323157722c96e;101;CSU;2017848;
3;Danilov;Evgeny;M60;;04:00;c182a592c34eb60d6aa3a18c4f986129;105;BOK;2114177;
4;Kerns;Kathleen;W65;;06:00;9179ce56e7dcc04eeaca7758e6883009;112;MTHD;1800859;
5;Craig;Matthew;M50;;08:00;a24c4fce19284814cddcedc121098504;104;BOK;7000530;
6;Haddow;Robert;M60;;10:00;1cdf0e6f30c50bbf1d96ba48d4a3f050;108;OVMRC;8001371;
7;Gouin;Lucie;W45;;12:00;783f82b9b6af2490a152d4674e868d0d;107;None;2231680;
8;Hart;Michael;M60;;14:00;b4b24b92cf490ce81797bfc20a204588;111;LAOC;1421760;
9;Papathanasopoulos;Anthony;M19;;16:00;20a1eab4a8e373e906ed508444af030e;121;None;2231683;
10;Mailey;Fred;M60;;18:00;6af4e5e57c9645c176d3ddc0b1ed99cf;113;NEOOC;7003965;
11;Allen;William;M21;;20:00;bdf28176d7bc8db13fd9f4d78d363af5;102;BOK;8529443;
12;Hammer;Erin;W35;;22:00;5eb096a7aabfe5106dcd8150a53779cf;109;BOK;2156020;
13;Mejevoi;Nicolai;M60;;24:00;bd59fda74254f3b3c8e56da3613412f8;114;None;7500765;
14;Roethe;Nicholas;M70;;26:00;ece76226623b268adfca036adf466048;125;RAC Canada;236458;
15;Myachin;Alexander;M50;;28:00;9dc45cb0910be24d5254fea213972f71;117;CROC;8543314;
16;Moore;Scott;M60;;30:00;9fb4165989acf3d3a1b789d55bdc545c;116;LAOC;338989;
17;Scharlau;Nadia;W65;;32:00;863349cefc7fdb507446b450ff23a428;127;BOK;2005018;
18;Fala;Gheorghe;M21;;34:00;34d92e713f793f036b23b5c7e771732f;106;BOK;8400555;
19;Harker;Kenneth;M50;;36:00;76c144a77f35bf339fe8bcf3cae61e35;110;AOC;9102215;
20;Poulsen;Mike;M60;;38:00;8dbc94aea977023ec514b21adddef0a1;122;CROC;46660;
21;Schuh;Michael;M70;;40:00;65d9b9708c5cb8406d61fa940dce7e31;128;COC;8507405;
22;Mezhevaya;Alla;W55;;42:00;7d434c3d0ff61ffa2c09036aef146a81;115;None;2068509;
23;Woodward;Roland;M60;;44:00;52040e0bc37c332ac7317f57b446e920;130;BGR;2231708;
24;Nasybulin;Eduard;M21;;46:00;2c00a300979116f4670676a5bc7dc340;118;None;7207970;
25;Schafrath-Craig;Adalia;W19;;48:00;e35aaeabb847a03a6ecc4b37946d176e;126;SMOC;8470477;
26;Robbins;Matthew;M60;;50:00;e78b1c45db5245e92db7f88a6d3b2c38;123;OCIN;8004417;
27;Roethe;Brigitte;W65;;52:00;df98375a98da0ebc0afe7005b7fa95d6;124;DARC Germany;236449;
28;Viira;Andres;M50;;54:00;56005ebfb12161a9dec756fd4cf5c117;129;P̵rgup̵hja OK;8400609;
29;Wright;William;M60;;56:00;d2a11c3d4b085a9fad734807de078e50;131;BAOC;46691;
